sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
114,image_search,3.829822,15.348945,509.992,0
114,reranker,0.000596,16.188573,0.060,0
114,nli,0.663355,2.636580,79.910,0
115,image_search,2.414672,15.348945,326.600,0
115,reranker,0.000539,16.188573,0.096,0
115,nli,3.108051,9.972648,766.522,0
116,image_search,2.298173,15.348945,302.792,0
116,reranker,0.000593,16.188573,0.075,0
116,nli,0.936700,3.187446,121.410,0
117,image_search,2.292266,15.348945,281.743,0
117,reranker,0.000555,16.188573,0.057,0
117,nli,1.088678,3.667610,150.759,0
118,image_search,2.396698,15.348945,318.404,0
118,reranker,0.000870,16.188573,0.037,0
118,nli,1.169165,3.951881,182.200,0
119,image_search,2.368696,15.348945,307.983,0
119,reranker,0.000531,16.188573,0.059,0
119,nli,0.783459,2.685289,93.765,0
120,image_search,2.410983,15.348945,329.056,0
120,reranker,0.000476,16.188573,0.034,0
120,nli,0.644209,2.243062,74.402,0
121,image_search,2.697269,15.348945,355.544,0
121,reranker,0.000469,16.188573,0.078,0
121,nli,2.403140,7.586981,578.914,0
122,image_search,4.060212,15.348945,534.317,0
122,reranker,0.000443,16.188573,0.045,0
122,nli,0.655948,2.191132,81.077,0
123,image_search,3.465493,15.348945,464.634,0
123,reranker,0.000440,16.188573,0.032,0
123,nli,2.290556,9.972648,500.309,0
124,image_search,3.351918,15.348945,440.588,0
124,reranker,0.000663,16.188573,0.114,0
124,nli,2.183345,6.903490,470.462,0
125,image_search,2.363242,15.348945,317.513,0
125,reranker,0.000543,16.188573,0.060,0
125,nli,2.476510,9.972648,577.477,0
126,image_search,2.276370,15.348945,280.998,0
126,reranker,0.000662,16.188573,0.060,0
126,nli,3.088863,9.972648,779.849,0
127,image_search,2.380846,15.348945,319.999,0
127,reranker,0.000536,16.188573,0.095,0
127,nli,3.144587,9.972648,766.094,0
128,image_search,2.407826,15.348945,317.363,0
128,reranker,0.000568,16.188573,0.036,0
128,nli,1.426710,5.859541,261.423,0
129,image_search,2.315623,15.348945,312.031,0
129,reranker,0.000569,16.188573,0.028,0
129,nli,1.453149,5.859541,230.974,0
130,image_search,2.365256,15.348945,294.988,0
130,reranker,0.000537,16.188573,0.027,0
130,nli,1.272200,4.015314,205.604,0
131,image_search,2.766039,15.348945,344.278,0
131,reranker,0.000457,16.188573,0.032,0
131,nli,3.133089,9.972648,784.284,0
132,image_search,3.257017,15.348945,388.635,0
132,reranker,0.000444,16.188573,0.042,0
132,nli,2.671975,9.972648,644.446,0
133,image_search,3.186474,15.348945,420.254,0
133,reranker,0.000517,16.188573,0.042,0
133,nli,3.331592,9.972648,817.513,0
134,image_search,4.059217,15.348945,510.405,0
134,reranker,0.000442,16.188573,0.024,0
134,nli,1.155954,4.453339,171.067,0
135,image_search,2.865218,15.348945,386.198,0
135,reranker,0.001112,16.188573,0.047,0
135,nli,2.860401,9.972648,698.526,0
136,image_search,2.359713,15.348945,289.241,0
136,reranker,0.000539,16.188573,0.064,0
136,nli,1.827037,6.531228,367.579,0
137,image_search,2.339284,15.348945,307.808,0
137,reranker,0.000576,16.188573,0.075,0
137,nli,1.078870,3.552709,144.683,0
138,image_search,2.333015,15.348945,309.844,0
138,reranker,0.000562,16.188573,0.071,0
138,nli,1.394008,4.607445,218.239,0
139,image_search,3.401188,15.348945,401.477,0
139,reranker,0.000610,16.188573,0.036,0
139,nli,0.869797,3.076206,110.942,0
140,image_search,2.911012,15.348945,393.053,0
140,reranker,0.000511,16.188573,0.080,0
140,nli,1.076783,3.820551,148.630,0
141,image_search,3.734092,15.348945,494.337,0
141,reranker,0.000474,16.188573,0.080,0
141,nli,0.541367,1.834598,58.590,0
142,image_search,4.305228,15.348945,562.334,0
142,reranker,0.000486,16.188573,0.035,0
142,nli,1.250535,4.939623,182.970,0
143,image_search,4.270494,15.348945,565.334,0
143,reranker,0.000469,16.188573,0.028,0
143,nli,0.679854,2.404458,78.985,0
144,image_search,3.681327,15.348945,489.175,0
144,reranker,0.000959,16.188573,0.038,0
